"Band","Genre","Location","Years active"
"10-67 P.D.O.A.","Heavy Metal","Minneapolis, Minnesota","N/A"
"10:13","Psychedelic/Experimental Black Metal","California","2019-Present"
"100 Suns","Death Metal","San Francisco, California","2004-Present"
"1000 A.D.","Drone/Sludge Metal","Olympia, Washington","2001-?, ?-? (as Growing)"
"1000 Bone Cylinder Explosion","Avant-garde Black/Speed Metal","Philadelphia, Pennsylvania","N/A"
"1000 Yard Stare","Death/Groove Metal (early); Sludge/Doom/Death Metal (later)","Wyandotte (early); Detroit (later), Michigan","1998-2001, 2015-Present"
"1080","Groove/Thrash Metal","Louisville, Kentucky","2002-2003"
"11:11","Heavy/Thrash Metal","Florida","N/A"
"11:34","Death/Thrash Metal","London, Kentucky","N/A"
"1134","Thrash/Groove Metal","Elgin, Illinois","N/A"
"11th Plague","Groove/Thrash Metal","Kokomo, Indiana","2011-Present"
"12 Days of Anarchy","Death Metal","Rock Island, Illinois","1998-2002"
"12 Days Straight","Groove Metal","Atlantic City, New Jersey","N/A"
"12 Eyes","Sludge Metal","New York, New York","2005-2009"
"12 Gauge Massacre","Deathcore","Hamilton, Ohio","2006-2008"
"12 Ton Sledge","Thrash Metal","Phoenix, Arizona","1997-2007"
"12:06","Heavy/Power Metal","Boston, Massachusetts","2001-?"
"13","Sludge/Doom Metal","New York, New York","1990-1992 (as Thunderpussy 13), 1992-1996"
"13 A.D.","Heavy Metal","Muskegon, Michigan","N/A"
"13 Candles","Heavy Metal","Dix Hills (Long Island), New York","1991-?"
"13 Killings","Metalcore","Orange County, California","2004-2011 (as 13 Killings), 2011-? (as I, Of Helix)"
"13 Mag","Southern/Groove Metal","Hillyard/Spokane, Washington","2010-2012"
"13 Winters","Symphonic Black Metal","Hollis, Maine","2001-2015"
"1369","Thrash/Groove Metal","Evansville, Indiana","1993-2003, 2003-? (as Blood Tribe)"
"137","Sludge/Doom Metal","Petoskey, Michigan / Rochester/Canandaigua, New York","1997-Present"
"13Down","Groove Metal","Phoenix, Arizona","N/A"
"13th Cadaver","Death Metal","Salt Lake City, Utah","2006-?, ?-2007 (as Splatter the Cadaver), 2008-2008 (as Splatter the Cadaver)"
"13th Knot","Heavy/Power Metal","Fayetteville, North Carolina","2005-?, ?-? (as Romeo Falls)"
"13th Level","Groove/Thrash Metal/Hardcore","Louisville, Kentucky","2000-2009, 2009-? (as Year of the Gun)"
"14 Sacred Words","Metalcore","New York, New York (early); Paoli, Indiana (later)","2015-Present"
"1492","Black Metal",,"N/A"
"16","Sludge Metal","Los Angeles, California","1991-2004, 2007-Present"
"16 Stitches","Progressive Rock/Metal","Marshfield, Massachusetts","N/A"
"1733","Thrash Metal","Dallas, Texas","2013-2013"
"1776","Black Metal",,"2019-?, ?-? (as Praefector)"
"18 Speed Tranny","Heavy/Stoner Metal","Chicago, Illinois","1999-2007, 2007-? (as Analog Machine)"
"18 Wheels of Justice","Thrash Metal/Metalcore","Boston, Massachusetts","N/A"
"1931","Deathcore","Galloway, Ohio","N/A"
"19TilDawn","Thrash/Heavy Metal","Battle Creek, Michigan","2010-Present"
"1Enemy3","Progressive Metal","Anchorage, Alaska","N/A"
"2 Headed Chang","Thrash/Groove Metal","Everett, Washington","1998-Present"
"200 Stab Wounds","Death Metal","Cleveland, Ohio","2019-Present"
"20Grit","Heavy Metal/Progressive Hard Rock","San Jose, California","1987-Present"
"21 Acts of Manslaughter","Grindcore","Eustace, Texas","N/A"
"21st Century Sin","Death/Thrash Metal","Saint Paul, Minnesota","1996-?"
"23 Roadkill","Groove Metal","Oklahoma City, Oklahoma","1990-?"
"237","Thrash/Groove Metal","El Paso, Texas","1995-1997, 2008-?"
"24Gore","Thrash Metal","Stockton, California","N/A"
"25th Mission","Heavy Metal","East Meadow (Long Island), New York","N/A"
"26 Beers","Thrash Metal/Crossover","Boston, Massachusetts","2004-2010"
"27 North","Heavy Metal","Lansing, Michigan","N/A"
"3 Headed Monster","Progressive/Power/Thrash Metal","Massachusetts","2001-2009, 2010-Present"
"3 Headed Moses","Heavy/Thrash/Death Metal","Columbia, Missouri","2002-?"
"3 Headed Snake","Power/Heavy Metal","Los Angeles, California","N/A"
"3 Minutes to Live","Groove Metal","Nashville, Tennessee","2004-Present"
"3 Parts Demon","Progressive Death Metal","Detroit, Michigan","2006-Present"
"3 Pieces of Evil","Symphonic Black Metal","Ohio","N/A"
"3 Times Driven","Heavy Metal/Hard Rock","Geraldine, Alabama (early);  Albertville, Alabama (later)","2007-2010, 2012-2017"
"3-Dead","Heavy Metal","Salinas, California","2005-Present"
"3:33","Thrash Metal/Crossover","Richmond, Virginia","2015-Present"
"3's Eve","Gothic Rock/Ambient; Heavy/Gothic Metal","Minneapolis, Minnesota (early); New Lisbon, New Jersey (mid); Kansas City, Missouri (later)","1996-?"
"3/4 Ton","Groove Metal","Mesquite, Texas","2001-?, 2018-Present"
"300 Cobras","Thrash/Black Metal","Athens, Georgia","N/A"
"3000psi","Thrash Metal/Crossover","Pismo Beach, California","2006-Present"
"313","Power/Speed/Heavy Metal","Pittsburgh/Monroeville, Pennsylvania","1983-1985 (as Discipline), 1985-1988"
"32 Mildreds","Thrash Metal","Bowie, Maryland","N/A"
"38DD","Thrash/Southern Metal/Rock","Kenosha, Wisconsin","1990-1996, 2008-Present"
"3B Assylum","Thrash Metal","Bakersfield, California","N/A"
"3D House of Beef","Sludge/Doom Metal","Duvall/Seattle, Washington / Los Angeles, California","1992-2001"
"3D in Your Face","Heavy Metal","Omaha, Nebraska","1999-Present"
"3Lunas","Thrash Metal","San Jose, California","2005-Present"
"3oT7","Thrash Metal","Gillette, Wyoming","2010-?"
"3rd Stage Alert","Heavy Metal","Los Angeles, California","1982-1985"
"4 A.M.","Heavy Metal","Alexander City, Alabama","N/A"
"40 on the Floor","Thrash/Groove Metal","Muscatine/Cedar Rapids, Iowa","2006-?"
"40 oz. Fist","Death Metal/Metalcore","Milwaukee, Wisconsin","2005-Present"
"40rgxtt3n","Brutal Death Metal","Durham, North Carolina","2019-Present"
"420","Brutal Death Metal","Levittown (Long Island), New York","1998-2000"
"420 Stomp","Groove Metal","Orange County, New York","2015-Present"
"440","Heavy Metal","Salt Lake City, Utah","1979-1987 (as Crisis), 1987-1995 (as Rough Night), 1995-2000, 2000-? (as Hard Bargain)"
"44Mag","Thrash Metal","Williamsport, Pennsylvania","N/A"
"45-70","Heavy Metal","Roscommon, Michigan","N/A"
"4CDIIH8","Thrash/Groove Metal","Orland Park, Illinois","N/A"
"4Fourty","Progressive Rock/Metal","Austin, Texas / Nashville, Tennessee","2000-Present"
"4Mag Nitrous","Stoner/Southern Metal","New Orleans, Louisiana","2000-Present"
"4saken1","Gothic Metal","Salt Lake City, Utah","2003-?"
"4th Dimension","Progressive/Groove Metal","Pennsylvania","N/A"
"5 Billion Dead","Groove Metal/Metalcore","Orlando/Lake Mary, Florida","2002-Present"
"5 Days Bleeding","Melodic Death/Power/Black Metal","Fort Gratiot, Michigan","2005-?"
"5 Minutes Hate","Death Metal/Metalcore","Barre, Vermont","N/A"
"5/5/2000","Drone/Doom Metal/Ambient","Escondido, California","1996-2006"
"502","Raw Black Metal",,"1999-?"
"50calibectomy","Brutal Death Metal","Philadelphia, Pennsylvania","2020-2020, 2020-? (as .50Cal Facial Fracture)"
"50lb.Head","Southern/Stoner Metal","Thomasville, Georgia","N/A"
"54R","Death/Black Metal/Grindcore","Gulfport, Mississippi","2006-Present"
"5ive","Sludge/Drone/Post-Metal","Boston, Massachusetts","2000-2008"
"5th Column","Death Metal","Poughkeepsie, New York","2003-Present"
"5th Dawn","Thrash/Death Metal","Rock Island/Milan, Illinois","2005-2006, 2007-2013, 2015-Present"
"60 Grit","Death Metal; Deathcore","Bolton, Connecticut","2003-Present"
"616","Thrash Metal","Richmond, Virginia","2010-2015"
"666Pain","Raw Black Metal","Texas","N/A"
"7 Months","Progressive Metal","Simi Valley, California","1995-Present"
"7000 Dying Rats","Experimental Grindcore/Death Metal","Chicago, Illinois / Detroit, Michigan / Oakland, California","1992-?"
"762","Death/Thrash Metal","Dallas, Texas","N/A"
"7th Angel","Melodic Heavy Metal","California","N/A"
"7th Overture","Progressive Metal","Peoria, Illinois","2003-2009, 2011-Present"
"7th Sacrament","Thrash Metal",,"N/A"
"7th Seal","Heavy Metal","Fargo, North Dakota","2007-2008, 2008-2010 (as Omega Zero), 2010-2011 (as Act of Defiance), 2012-2015 (as Rule 17)"
"7th Son","Thrash Metal","Las Vegas, Nevada","2004-2009, 2009-2013 (as Taking Dawn), 2013-2017 (as Devils Run), 2017-? (as Taking Dawn)"
"8 Weeks Dead","Thrash/Stoner Metal","Danbury, Connecticut","2003-?"
"80 Billion Tons","Doom/Death Metal","Gary, Indiana","1993-?"
"80 Proof Down","Death/Groove Metal","DeLand, Florida","N/A"
"88MM Metal Bullets","Black/Thrash Metal","Midvale, Utah","2002-?"
"8mm Overdose","Thrash Metal","Honolulu, Hawaii","1994-1999 (as Machine), 1999-2007, 2007-? (as Corrupt Absolute)"
"9 Dead","Brutal Death Metal/Deathcore","Southern New Jersey","2020-Present"
"9 Realms","Death/Thrash Metal","Virginia","N/A"
"908","Death Metal/Grindcore","Colorado Springs/Denver, Colorado","2013-Present"
"911","Thrash Metal/Crossover","Milwaukee, Wisconsin","N/A"
"999 Society","Groove/Thrash Metal","Los Angeles, California","N/A"
"9Slug","Southern/Groove Metal","South Louisiana","N/A"
"9th Circle Symphony","Heavy Metal","Indianapolis, Indiana","2011-Present"
"A // Solution","Crust Punk/Thrash Metal","Long Beach, California","N/A"
"A 12 Gauge Tragedy","Deathcore","Niagara Falls, New York","2005-2006 (as Rusted Embrace), 2006-2009"
"A Balance of Power","Melodic Death Metal/Metalcore","Salt Lake City, Utah","2004-Present"
"A Band of Orcs","Death/Thrash Metal","Santa Cruz, California","2007-Present"
"A Belt Above Black","Melodic Death Metal/Metalcore","Los Angeles, California","N/A"
"A Blind Prophecy","Melodic/Progressive Metal","Burrillville, Rhode Island","2003-2005"
"A Bloody Epitaph","Deathcore","San Bernardino, California","2005-2009, 2009-2011 (as Gates ov Leviathan)"
"A Body Falls","Melodic Death Metal","Waynesboro, Virginia","2004-?"
"A Break in the Storm","Metalcore","Merrill, Wisconsin","N/A"
"A Breath Before Surfacing","Deathcore","Tucson, Arizona","2006-2009"
"A Broken Machine","Metalcore","St. Petersburg, Florida","2003-Present"
"A Brutal Confession","Thrash Metal","Minneapolis, Minnesota","2007-2009"
"A Call to Arms","Thrash/Speed Metal","Saint Paul, Minnesota","1989-1994 (as Warhead), 2001-2009 (as Twelve Gauge), 2009-2011"
"A Circle of Crows","Melodic Black/Death Metal","South Bend, Indiana","2016-Present"
"A City Screams in Terror","Deathcore","Seattle, Washington","2010-2011"
"A Cloud Forest","Black Metal","Phoenix, Arizona","2009-Present"
"A Cold Reality","Thrash/Death Metal","Waltham, Massachusetts","1999-2008"
"A Collection of Cyclops Skulls","Doom/Sludge Metal","Bellingham, Washington","N/A"
"A Constant Battle","Thrash/Progressive Metal","Rockland, Maine","?-2013"
"A Crime of Passion","Progressive Death Metal/Deathcore","Seattle, Washington","2010-Present"
"A Cursed Spirit in the Mirror","Black Metal","Hollywood, California","2008-2009 (as Veloria), 2009-Present"
"A Dank Season","Southern/Thrash/Groove Metal","Naples, Florida","N/A"
"A Dark Halo","Industrial/Thrash/Groove Metal","Phoenix, Arizona","2004-Present"
"A Darkened Sea","Black/Doom Metal","Phoenix, Arizona / Tampa, Florida","2003-?"
"A Dawn Within","Progressive Melodic Death Metal/Metalcore","Appleton, Wisconsin","2002-2007"
"A Day of Pigs","Sludge Metal","Toms River, New Jersey","N/A"
"A Day to Fall","Melodic Death/Thrash Metal","Clovis, New Mexico","2003-2008, 2008-? (as For the Suffering)"
"A Day Worth Dying For","Melodic Death Metal/Deathcore","Birmingham, Alabama","2010-?"
"A Dead Calling","Deathcore","Decatur/Fort Wayne, Indiana","2007-2009"
"A Dead God...","Melodic Black Metal","Brentwood/Antioch, California","?-?, ?-? (as Bies)"
"A Death by the Seaside","Atmospheric Funeral Doom/Post-Metal","Philadelphia, Pennsylvania","N/A"
"A Deeper Dark","Thrash Metal/Hardcore","Buffalo, New York","2010-Present"
"A Devil's Daydream","Melodic Black/Death Metal","Dallas, Texas","2011-Present"
"A Dream Set Fire","Groove/Thrash Metal","Minneapolis, Minnesota","2016-Present"
"A Fallen Martyr","Thrash/Groove Metal","Hobbs, New Mexico","2008-?"
"A Fitting Revenge","Melodic Death Metal/Metalcore","Rochester, New York","2012-2014 (as AFR), 2014-Present"
"A Flourishing Scourge","Progressive Black/Death Metal","Seattle, Washington","2013-2014 (as Begotten), 2014-Present"
"A Fluorescent Finish","Black Metal","Jersey City, New Jersey","N/A"
"A Ghastly Menace","Noise (early); Metalcore (later)","Desert Hot Springs, California","2013-Present"
"A God from the Machine","Progressive Black Metal","Tallahassee, Florida","N/A"
"A God or an Other","Atmospheric Post-Black Metal","Seattle, Washington","2010-2018"
"A Grave Calling","Progressive Death Metal/Deathcore","Junction City, Kansas","2006-2011"
"A Grave for Small Birds","Melodic Post-Black Metal","Seattle, Washington","N/A"
"A Grim Saga","Sludge Metal","Santa Rosa, California","N/A"
"A Gruesome Find","Black/Death Metal","Toledo, Ohio","1998-Present"
"A Hanging","Thrash Metal/Hardcore","New Orleans, Louisiana","2007-Present"
"A Haunted Mantra","Melodic Death Metal","Charlotte, North Carolina","N/A"
"A Hill to Die Upon","Black/Death Metal","Monmouth/Galesburg, Illinois","2004-Present"
"A House Cursed","Death/Groove Metal","Carson City, Nevada","N/A"
"A Human Costume","Melodic Death Metal, Metalcore","San Jose, California","2011-Present"
"A Lapse of Ethos","Deathcore","Phoenix, Arizona","2012-Present"
"A Life Less Alive","Death Metal","Lorain, Ohio","1997-Present"
"A Life Once Lost","Metalcore/Groove Metal","Philadelphia, Pennsylvania","1998-2013"
"A Living Burden","Melodic Death/Thrash Metal/Metalcore","Jackson, Mississippi","?-2008"
"A Living Sacrifice","Heavy/Thrash Metal","Boston, Massachusetts","N/A"
"A Loathing Requiem","Technical Death Metal","Nashville, Tennessee","2007-Present"
"A Long Forgotten Power","Black Metal","Houston, Texas","2008-?"
"A Love Ends Suicide","Progressive Heavy Metal/Metalcore","West Covina, California","2003-?, ?-? (as Lets Fighting)"
"A Lovely Day for Bloodshed","Deathcore","Colton, California","2006-2008, 2008-?"
"A Lower Deep","Power/Thrash Metal","Birmingham, Alabama","N/A"
"A Man Named Onigumo","Progressive/Brutal Death Metal","Springfield, Missouri","2019-Present"
"A Mental Disorder","Black Metal","San Antonio, Texas","2011-Present"
"A Misery Memoir","Melodic Death Metal","Fredericksburg, Virginia","N/A"
"A Morbid Masquerade","Melodic/Technical Death Metal/Deathcore","New York/New Jersey","2018-Present"
"A Mutilated Mind","Death Metal/Hardcore","Pennsylvania","N/A"
"A Night at the Chalet","Deathcore","Milwaukee, Wisconsin","2008-2015"
"A Novelist","Progressive Death Metal","Lafayette, Louisiana","N/A"
"A Pale Horse Named Death","Doom/Gothic Metal","New York, New York","2010-Present"
"A Persuasive Reason","Symphonic/Progressive/Gothic Metal","Bonita Springs, Florida","2011-Present"
"A Plague in Faith","Technical Death Metal","Kansas City, Missouri","2012-2015"
"A Portrait of Flesh and Blood","Symphonic/Depressive Black Metal","Los Angeles, California (early); Austria / Japan / United States (mid); United States (later)","1999-2015 (as Echoes of Silence), 2015-2015 (as Cosmic Genesis), 2015-Present"
"A Pregnant Light","Post-Black Metal, Post-Rock/Hardcore","Grand Rapids, Michigan","2009-Present"
"A Pyrrhic Victory","Metalcore","Rathdrum, Idaho / Spokane, Washington","2007-Present"
"A Scapegoat's Faith","Progressive Gothic Metal","Las Vegas, Nevada","1999-?"
"A Sea of Silent Skulls","Doom Metal","Georgia","2016-Present"
"A Sense of Gravity","Djent (early); Progressive Metal (later)","Seattle, Washington","2011-Present"
"A Serpent's Hand","Melodic Death Metal/Metalcore","Cincinnati, Ohio","2018-2021"
"A Shattered Dream","Progressive Metal","North Andover, Massachusetts","1988-1992"
"A Shattered Reflection","Melodic Death Metal/Metalcore","New York, New York","2006-?"
"A Sickness Called Conscious","Brutal Death Metal","Laplata, Maryland","N/A"
"A Silent Ascent","Progressive Metalcore","Milwaukee, Wisconsin","N/A"
"A Skin for Dancing In","Black/Death Metal","Albany, New York","N/A"
"A Sleepless Malice","Melodic Death Metal","Lapeer, Michigan","2009-Present"
"A Sound of Thunder","Heavy/Power Metal, Hard Rock","Washington, D.C.","2008-Present"
"A Squandered Potential","Progressive/Technical Death Metal","Boston, Massachusetts","N/A"
"A Storm of Light","Atmospheric Sludge/Post-Metal/Rock","New York, New York","2007-Present"
"A Temple of Mirrors","Experimental Doom/Death Metal","Monterey County, California","N/A"
"A Temporal Causality","Technical Death Metal/Goregrind","Santa Ana, California","2008-2021, 2021-? (as Allah's Cause)"
"A Terrible Night for a Curse","Death Metal/Grindcore","Winthrop, Massachusetts","2003-2005"
"A Texas Funeral","Death/Thrash Metal; Metalcore","Chicago, Illinois","2005-?"
"A Theory on Conquest","Experimental Death Metal","Tyler, Texas","2007-2013"
"A Thousand Buried Infants","Brutal Death Metal","Middletown, New York","2004-?"
"A Thousand Dead","Progressive Death Metal","Oakland, California","2010-Present"
"A Thousand Knives of Fire","Southern Metal/Rock","Long Branch, New Jersey","N/A"
"A Thousand Shall Fall","Melodic Death Metal","Santa Cruz, California","2010-Present"
"A Thousand Shields","Progressive Metal","Mt. Airy, North Carolina","2006-2012"
"A Thousand Times Repent","Deathcore/Metalcore","Atlanta, Georgia","2004-2011"
"A Threat to the Enemy","Groove/Death Metal","Abilene/Fort Worth, Tennessee","2010-Present"
"A Tortured Soul","Heavy Metal","Milwaukee, Wisconsin","2002-Present"
"A Transylvanian Funeral","Black Metal","Tucson, Arizona","2008-?"
"A Vision Grotesque","Death/Thrash/Black/Groove Metal","Salisbury, North Carolina","2004-2006 (as Art of Dying), 2006-2014"
"A Waking Nightmare","Grindcore/Metalcore","Washington, Pennsylvania","2003-?"
"A Well Thought Tragedy","Melodic Death Metal/Metalcore","Philadelphia, Pennsylvania","2004-2008"
"A World of Lies","Melodic Death Metal","Asheville, North Carolina","2012-Present"
"A World Without","Deathcore","Portland, Oregon","2011-2013 (as Invocatus), 2013-Present"
"A Worse Case Scenario","Melodic Death Metal","Evansville, Indiana","N/A"
"A.C.P.","Groove/Thrash Metal","Dix Hills (Long Island), New York","1994-1995"
"A.D. 4","Heavy Metal","Staten Island (New York City), New York","2020-Present"
"A.G.E.S.","Thrash Metal/Crossover","Belmont, California","N/A"
"A.I.D.S.","Black Metal","Fort Wayne, Indiana","2004-Present"
"A.K.A.","Heavy/Power Metal","Cleveland, Ohio","1986-1991, 1991-1991 (as Green Eggs n Ham)"
"A.K.U","Black/Death Metal","Orlando, Florida","2016-2021"
"A.M.Q.A.","Thrash Metal/Crossover","Seattle, Washington","1985-1989"
"A.S.D.","Thrash Metal","Monmouth County, New Jersey","2006-2007, 2011-Present"
"A.S.U.R.A","Black/Thrash Metal/Hardcore Punk",,"N/A"
"A.TAXET.A","Black Metal/Ambient","Ketchikan, Alaska","2016-Present"
"A((wake))","Melodic Progressive Metal","Portland, Oregon","2003-2013"
"Aaltar","Doom/Death Metal","York, Pennsylvania","N/A"
"Aanyl Pane","Heavy Metal with Punk influences","Portland, Oregon","N/A"
"Aarghh","Death/Thrash Metal","Ohio","1985-?"
"Aaron Holt","Progressive Metal/Rock","Washington, D.C.","N/A"
"Aaron Mortician","Death/Thrash Metal","Delphos, Ohio","N/A"
"Aaron Pearson","Heavy Metal/Hard Rock","Walnut Creek, California","N/A"
"Aaron Prevails","Slam/Brutal Death Metal/Deathcore","North Carolina","N/A"
"Aaronsrod","Heavy Metal","Honolulu, Hawaii","1984-1993, ?-Present"
"Aarseth","Black Metal","Los Angeles, California","N/A"
"Aarson","Heavy/Power Metal","Tampa, Florida","N/A"
"Ab Aeterno","Symphonic Metal","Los Angeles, California","N/A"
"Abaasy","Metalcore/Deathcore","Boise, Idaho","N/A"
"ABACABB","Deathcore","Sterling, Virginia","2004-2010, 2013-2013"
"Abacinate","Deathcore","Keansburg, New Jersey","2004-Present"
"Abacinator","Thrash/Speed Metal","Philadelphia, Pennsylvania","1985-?"
"Abaddon","Black Metal","Fort Lauderdale, Florida","1991-1992, 1992-? (as Sorath)"
"Abaddon","Thrash/Death Metal/Grindcore/Crossover","Milwaukee, Wisconsin","?-? (as Suruk), 2005-?"
"Abaddon","Death Metal","Albuquerque, New Mexico","N/A"
"Abaddon","Blackened Thrash Metal","Walnut, Illinois","2011-2012, 2012-? (as Crypostosy)"
"Abaddon","Heavy Metal","Morristown, New Jersey","N/A"
"Abaddon","Death Metal","El Paso, Texas","2015-Present"
"Abaddon","Black/Thrash Metal","Chicago, Illinois (early); Emilia-Romagna, Italy (later)","1999-2003, 2006-2017, 2017-? (as Wraithrest)"
"Abaddon","Black/Death Metal","Burlington, Vermont","2009-Present"
"Abaddon Krist","Symphonic Black Metal","Fort Lauderdale, Florida","2005-?"
"Abaddon's Abyss","Death Metal/Grindcore (early); Black Metal (later)","Baldwin Park, California","2008-2010, 2012-2013, 2013-Present"
"Abamath","Black Metal","Wisconsin","N/A"
"Abandon","Groove Metal","Detroit, Michigan","1992-1993 (as Embryos), 1993-?"
"Abandon All Light","Black Metal/Ambient","Milwaukee, Wisconsin","2016-Present"
"Abandoned Fate","Power/Thrash/Speed Metal","Auberry/Clovis/Friant/Tulare/Visalia, California","1996-Present"
"Abaroth","Atmospheric Black Metal","Worcester, Massachusetts","2002-Present"
"Abase","Raw Black Metal","Fullerton/Bakersfield, California","2017-Present"
"Abated Mass of Flesh","Slam/Brutal Death Metal/Deathcore","Unionville (early); Murfreesboro (later), Tennessee","2011-Present"
"Abathur","Technical Death Metal/Deathcore","Augusta, Georgia","N/A"
"Abattoir","Power/Speed Metal","Los Angeles, California","1982-1987, 1998-2005, 2008-?, 2018-2019"
"Abattoir","Death/Black Metal","Indianapolis, Indiana","N/A"
"Abatu","Experimental Death Metal","Largo, Florida","2004-2007"
"Abazagorath","Black Metal","New Brunswick, New Jersey","1995-Present"
"Abbatoir","Black Metal","California","?-1998, 1998-1998 (as Sias), 1998-1999 (as Zahgurim), 1999-? (as Wulfhere)"
"Abbess","Black/Doom Metal","Frostburg, Maryland","N/A"
"Abdicate","Progressive Death/Doom Metal","Marshalltown, Iowa","2003-2009, 2019-?"
"Abdicate","Brutal Death Metal","Rochester, New York","2008-Present"
"Abdiel","Black Metal","Henderson, Nevada","N/A"
"Abdomen Canvas","Deathcore","Orlando, Florida","2007-Present"
"Abducted","Progressive/Death Metal","Port Huron, Michigan","2012-Present"
"Abducted","Brutal Death Metal","Fairbanks, Alaska","2016-Present"
"Abducted","Technical Death Metal","Seattle, Washington","2016-Present"
"Abduction","Heavy Metal","Cleveland, Ohio","1983-1985"
"Abdullah","Stoner/Doom Metal","Cleveland, Ohio","1997-1998 (as Flaw), 1998-2009"
"Aberrance","Death/Groove Metal","Paradise, California","2009-Present"
"Aberrance","Thrash/Power Metal","Temecula, California","2011-Present"
"Aberrant","Death Metal/Grindcore","Denver, Colorado","1999-2013"
"Aberrant Construct","Brutal Death Metal/Deathcore","Oklahoma City, Oklahoma","2017-Present"
"Aberrant Light","Death Metal",,"2018-2019 (as Skeletal Wings of Death), 2019-2020 (as Aberrant Light), 2020-? (as Lux Enormes)"
"Aberrant Path","Black Metal","Minneapolis, Minnesota","N/A"
"Aberrated","Progressive/Technical Death/Thrash Metal","Long Island, New York","2005-Present"
"Aberration","Melodic Black Metal","Naperville, Illinois","2007-Present"
"Aberration","Melodic Death Metal/Grindcore","Santa Rosa, California","?-? (as Identities), 2013-2018"
"Aberration","Heavy/Speed Metal","Salem, Oregon","N/A"
"Aberration","Black/Death Metal","Minneapolis, Minnesota","2020-Present"
"Aberth","Black Metal","Massachusetts","N/A"
"Abgabba","Death Metal","Miamisburg, Ohio","2007-Present"
"Abhartach","Raw Black Metal",,"N/A"
"Abhasa","Atmospheric Black Metal/Ambient",,"N/A"
"Abhomine","Black/Death Metal","Miami, Florida","2015-Present"
"Abhor Evil","Thrash Metal","Kansas City, Missouri","1990-?, ?-? (as Ethereal Soul)"
"Abhorator","Melodic Death/Thrash Metal","Valparaiso, Indiana","2015-Present"
"Abhorrance","Thrash Metal/Crossover","Santa Cruz, California","1998-?"
"Abhorrance","Death Metal","San Francisco, California","1990-1993"
"Abhorration","Brutal Death Metal","Redondo Beach, California","2011-Present"
"Abhorred","Grindcore/Thrash/Black/Death Metal","Lowell, Massachusetts","2003-2007"
"Abhorrence","Death Metal","Dix Hills (Long Island), New York","1989-1991"
"Abhorrency","Black/Death Metal","Sacramento, California","2019-Present"
"Abhorrent","Death/Black Metal","Palmdale, California","2004-2008"
"Abhorrent","Technical Death Metal","San Antonio, Texas","2007-Present"
"Abhorrent Affliction","Death Metal","Portland, Oregon","2018-Present"
"Abhorrent Aggression","Death Metal","Ballston Spa, New York","2012-2015"
